OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
785,2022/05/08 10:00:00+00,17244,92002,135091,115404,11367,6127,21949,15783,28696,7787,46593,5744,39149,45545,3095,175644,174281,7211,5239,19199,5675,35353,19891,8767,0
786,2022/05/09 10:00:00+00,17245,92118,135283,115565,11375,6127,21985,15799,28730,7793,46630,5745,39199,45629,3098,175968,174430,7216,5239,19213,5679,35361,19899,8769,0
787,2022/05/10 10:00:00+00,17263,92299,135442,115748,11389,6130,22010,15822,28766,7800,46699,5751,39245,45766,3102,176399,174636,7219,5245,19233,5684,35369,19918,8786,0
788,2022/05/11 10:00:00+00,17270,92423,135643,116019,11416,6131,22040,15850,28805,7802,46753,5754,39280,45867,3109,176767,174792,7221,5249,19266,5686,35387,19935,8796,0
789,2022/05/12 10:00:00+00,17275,92620,135941,116287,11437,6145,22084,15870,28857,7811,46829,5756,39355,46003,3114,177331,175069,7234,5253,19311,5693,35417,19967,8812,0
790,2022/05/13 10:00:00+00,17289,92813,136250,116690,11466,6157,22133,15903,28947,7818,46910,5760,39412,46116,3119,177997,175354,7244,5266,19328,5701,35428,20012,8825,0
791,2022/05/14 10:00:00+00,17314,93024,136575,117063,11486,6162,22192,15935,29029,7824,46989,5764,39483,46278,3134,178701,175657,7261,5270,19374,5715,35446,20035,8836,0
792,2022/05/15 10:00:00+00,17318,93190,136820,117291,11499,6165,22230,15964,29093,7835,47052,5768,39566,46435,3143,179171,175892,7267,5271,19388,5718,35456,20045,8841,0
793,2022/05/16 10:00:00+00,17320,93346,136997,117472,11511,6169,22269,15977,29140,7848,47114,5774,39614,46559,3145,179549,176101,7271,5271,19406,5727,35470,20053,8848,0
794,2022/05/17 10:00:00+00,17351,93531,137307,117747,11531,6175,22321,16014,29202,7853,47186,5779,39678,46699,3148,180130,176416,7281,5278,19429,5739,35488,20096,8864,0
795,2022/05/18 10:00:00+00,17362,93728,137542,117956,11545,6180,22369,16049,29247,7856,47272,5782,39754,46834,3156,180595,176699,7295,5282,19470,5755,35502,20127,8878,0
796,2022/05/19 10:00:00+00,17371,93959,137897,118284,11576,6190,22434,16069,29317,7876,47390,5787,39850,47003,3161,181342,177034,7304,5288,19501,5769,35541,20169,8893,0
797,2022/05/20 10:00:00+00,17400,94246,138319,118569,11604,6197,22493,16111,29411,7900,47516,5792,39932,47177,3170,182130,177430,7317,5294,19552,5787,35568,20205,8901,0
798,2022/05/21 10:00:00+00,17406,94447,138556,118795,11630,6210,22537,16142,29468,7914,47598,5797,39998,47334,3189,182743,177694,7328,5303,19580,5796,35592,20226,8922,0
799,2022/05/22 10:00:00+00,17407,94574,138782,118981,11655,6215,22586,16155,29518,7916,47698,5801,40061,47422,3196,183308,177949,7329,5306,19598,5812,35612,20238,8934,0
800,2022/05/23 10:00:00+00,17416,94731,138990,119141,11670,6225,22617,16179,29571,7922,47778,5803,40118,47498,3200,183697,178187,7336,5310,19628,5817,35626,20257,8940,0
801,2022/05/24 10:00:00+00,17429,94968,139282,119413,11694,6230,22663,16209,29642,7943,47854,5807,40200,47695,3202,184277,178589,7343,5312,19665,5827,35654,20291,8950,0
802,2022/05/25 10:00:00+00,17465,95119,139538,119634,11713,6232,22681,16224,29686,7947,47929,5808,40262,47814,3204,184874,178857,7345,5316,19693,5838,35675,20313,8955,0
803,2022/05/26 10:00:00+00,17479,95457,139861,119928,11733,6244,22727,16252,29772,7968,48001,5815,40354,47918,3212,185497,179209,7360,5321,19766,5849,35715,20338,8971,0
804,2022/05/27 10:00:00+00,17501,95687,140163,120199,11755,6252,22778,16280,29870,7979,48065,5821,40419,48122,3223,186261,179584,7375,5331,19794,5864,35745,20375,8981,0
805,2022/05/28 10:00:00+00,17515,95897,140483,120478,11778,6256,22811,16301,29915,7988,48169,5822,40460,48230,3231,186779,179890,7387,5337,19845,5874,35784,20394,9004,0
806,2022/05/29 10:00:00+00,17518,96037,140695,120671,11802,6261,22848,16340,29986,7993,48251,5822,40507,48343,3236,187289,180140,7392,5338,19873,5884,35806,20410,9018,0
807,2022/05/30 10:00:00+00,17523,96174,140864,120802,11820,6265,22876,16350,30043,8001,48298,5827,40570,48411,3239,187763,180371,7402,5340,19904,5886,35819,20425,9019,0
808,2022/05/31 10:00:00+00,17528,96257,141001,120907,11832,6269,22896,16364,30064,8004,48331,5827,40603,48486,3245,188138,180527,7410,5341,19922,5888,35826,20443,9027,0
809,2022/06/01 10:00:00+00,17596,96415,141173,121061,11850,6275,22923,16388,30114,8013,48389,5830,40650,48565,3248,188658,180805,7419,5346,19953,5894,35848,20464,9032,0
810,2022/06/02 10:00:00+00,17621,96553,141341,121229,11872,6282,22951,16424,30134,8022,48445,5839,40693,48713,3253,188985,180984,7424,5350,20005,5900,35861,20492,9041,0
811,2022/06/03 10:00:00+00,17646,96781,141645,121524,11916,6294,23019,16452,30200,8028,48510,5849,40765,48830,3257,189621,181324,7437,5354,20042,5906,35932,20520,9051,0
812,2022/06/04 10:00:00+00,17678,96985,141868,121781,11948,6300,23074,16468,30271,8041,48604,5857,40827,48948,3264,190242,181726,7455,5359,20069,5912,35975,20545,9074,0
813,2022/06/05 10:00:00+00,17687,97109,142042,121958,11963,6304,23104,16483,30307,8051,48669,5859,40869,49032,3265,190611,181949,7462,5360,20100,5916,35997,20559,9086,0
814,2022/06/06 10:00:00+00,17697,97195,142173,122044,11973,6307,23119,16501,30375,8056,48724,5862,40912,49093,3269,190924,182157,7467,5361,20111,5921,36008,20563,9087,0
815,2022/06/07 10:00:00+00,17734,97363,142360,122250,11986,6309,23143,16520,30432,8065,48788,5867,40963,49253,3273,191340,182432,7473,5365,20145,5925,36038,20593,9108,0
816,2022/06/08 10:00:00+00,17743,97473,142509,122395,11994,6312,23162,16531,30479,8069,48859,5871,41003,49356,3273,191645,182674,7478,5368,20168,5932,36055,20612,9123,0
817,2022/06/09 10:00:00+00,17748,97645,142665,122574,12013,6316,23196,16557,30547,8088,48929,5878,41049,49487,3273,192056,182956,7496,5377,20191,5939,36094,20633,9133,0
818,2022/06/10 10:00:00+00,17776,97809,142846,122735,12029,6317,23237,16561,30614,8106,48971,5890,41090,49573,3275,192380,183202,7504,5383,20235,5944,36107,20664,9143,0
819,2022/06/11 10:00:00+00,17789,97965,143005,122918,12053,6324,23267,16584,30698,8119,49027,5894,41144,49717,3278,192897,183501,7509,5384,20265,5953,36148,20682,9158,0
820,2022/06/12 10:00:00+00,17792,98045,143126,123045,12061,6326,23280,16599,30748,8125,49068,5898,41173,49765,3280,193196,183717,7516,5386,20279,5959,36170,20704,9164,0
821,2022/06/13 10:00:00+00,17797,98118,143257,123131,12071,6329,23295,16613,30794,8129,49094,5899,41199,49829,3283,193423,183857,7523,5388,20299,5961,36185,20720,9170,0
822,2022/06/14 10:00:00+00,17803,98233,143397,123273,12082,6332,23315,16634,30847,8137,49139,5904,41238,49906,3286,193754,184094,7524,5388,20325,5968,36209,20739,9178,0
823,2022/06/15 10:00:00+00,17822,98350,143501,123383,12090,6333,23328,16652,30885,8141,49184,5908,41266,49986,3288,194043,184277,7536,5391,20340,5972,36229,20754,9190,0
824,2022/06/16 10:00:00+00,17832,98482,143644,123549,12112,6342,23351,16672,30966,8148,49230,5917,41312,50097,3293,194457,184555,7544,5394,20373,5987,36250,20774,9201,0
825,2022/06/17 10:00:00+00,17843,98614,143809,123715,12129,6348,23386,16699,31049,8153,49278,5921,41347,50371,3294,194974,184832,7550,5396,20404,5992,36277,20800,9216,0
826,2022/06/18 10:00:00+00,17871,98720,143951,123849,12143,6351,23415,16720,31106,8157,49319,5928,41388,50445,3295,195346,185057,7561,5399,20426,6000,36297,20817,9224,0
827,2022/06/19 10:00:00+00,17874,98788,144070,123935,12155,6355,23431,16737,31135,8161,49366,5931,41422,50486,3296,195611,185239,7568,5403,20440,6004,36305,20830,9231,0
828,2022/06/20 10:00:00+00,17879,98876,144152,124002,12162,6355,23441,16755,31165,8166,49392,5932,41463,50529,3297,195867,185375,7573,5403,20449,6008,36310,20844,9232,0
829,2022/06/21 10:00:00+00,17900,98930,144231,124068,12170,6359,23449,16770,31181,8166,49420,5935,41492,50553,3297,196038,185501,7579,5405,20463,6009,36323,20851,9242,0
830,2022/06/22 10:00:00+00,17920,99041,144367,124198,12180,6360,23466,16788,31228,8173,49481,5943,41529,50636,3301,196429,185773,7587,5410,20479,6011,36361,20876,9255,0
831,2022/06/23 10:00:00+00,17933,99247,144527,124336,12204,6366,23498,16807,31279,8183,49544,5947,41591,50723,3305,196784,186021,7599,5418,20508,6016,36387,20900,9267,0
832,2022/06/24 10:00:00+00,17948,99399,144684,124495,12233,6369,23515,16829,31343,8191,49603,5958,41628,50866,3308,197209,186322,7604,5423,20531,6019,36410,20920,9281,0
833,2022/06/25 10:00:00+00,17962,99532,144837,124653,12257,6376,23541,16850,31390,8195,49652,5964,41684,50966,3320,197645,186585,7609,5428,20554,6036,36439,20955,9292,0
834,2022/06/26 10:00:00+00,17970,99639,144980,124774,12276,6377,23558,16869,31423,8204,49697,5972,41720,51052,3321,197922,186834,7610,5431,20569,6038,36458,20959,9301,0
835,2022/06/27 10:00:00+00,17975,99710,145075,124858,12287,6381,23574,16884,31454,8206,49728,5973,41753,51136,3323,198172,187014,7612,5434,20580,6040,36464,20972,9305,0
836,2022/06/28 10:00:00+00,17998,99873,145249,124985,12301,6382,23600,16904,31494,8216,49770,5984,41804,51222,3325,198545,187242,7619,5436,20597,6044,36481,20985,9315,0
837,2022/06/29 10:00:00+00,18013,100005,145374,125090,12317,6388,23632,16925,31543,8222,49823,5990,41847,51307,3326,198938,187478,7627,5441,20618,6049,36523,21003,9326,0
