OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
228,2020/11/16 10:00:00+00,33,276,668,509,29,9,128,36,102,14,133,1,82,126,24,871,866,26,8,60,7,53,55,31,13
229,2020/11/17 10:00:00+00,35,276,671,512,29,9,128,36,102,14,133,1,83,126,24,874,870,26,8,60,7,54,55,31,22
230,2020/11/18 10:00:00+00,39,276,674,513,30,9,129,36,102,14,134,1,84,126,24,875,875,26,8,60,7,55,55,32,17
231,2020/11/19 10:00:00+00,44,276,676,513,30,9,130,36,102,14,135,2,84,127,24,878,878,26,8,60,7,56,55,32,18
232,2020/11/20 10:00:00+00,46,279,677,513,30,9,131,36,102,15,135,3,84,128,24,881,878,26,8,60,7,57,55,34,27
233,2020/11/21 10:00:00+00,48,282,679,518,30,9,131,37,102,15,137,3,84,128,24,887,882,26,8,61,7,58,55,34,16
234,2020/11/22 10:00:00+00,52,282,679,520,30,9,131,37,102,15,137,3,85,128,24,889,882,26,8,61,7,59,55,34,24
235,2020/11/23 10:00:00+00,55,284,682,523,31,9,131,37,102,15,138,4,85,129,24,890,882,26,8,61,7,60,56,35,19
236,2020/11/24 10:00:00+00,59,284,686,525,32,10,131,37,102,15,138,4,89,130,24,893,884,26,8,61,7,61,57,35,27
237,2020/11/25 10:00:00+00,60,285,692,528,32,10,131,37,103,15,138,4,91,131,23,894,888,26,8,61,7,63,58,35,43
238,2020/11/26 10:00:00+00,64,286,697,534,35,10,132,39,103,15,138,4,91,133,23,897,896,26,8,61,7,69,59,35,30
239,2020/11/27 10:00:00+00,64,286,701,538,35,10,132,39,103,15,138,4,91,133,23,902,898,26,8,61,7,69,59,36,36
240,2020/11/28 10:00:00+00,69,286,706,542,36,10,132,40,103,15,140,4,92,137,23,905,900,26,9,61,7,69,59,35,41
241,2020/11/29 10:00:00+00,71,286,707,545,36,10,133,40,103,15,142,5,94,139,23,909,902,26,9,61,7,70,59,35,43
242,2020/11/30 10:00:00+00,72,286,710,547,36,10,133,40,103,15,142,5,94,140,23,912,906,26,9,62,7,71,59,37,41
243,2020/12/01 10:00:00+00,74,285,715,548,36,10,135,40,102,15,142,6,99,142,23,918,911,26,9,62,7,73,59,37,42
244,2020/12/02 10:00:00+00,80,285,718,557,37,10,135,45,102,16,142,8,100,143,23,924,913,26,9,62,7,77,59,38,42
245,2020/12/03 10:00:00+00,84,288,730,561,38,10,139,47,103,17,144,8,102,144,23,928,917,26,9,64,7,79,59,38,41
246,2020/12/04 10:00:00+00,87,288,737,570,38,10,139,48,103,17,144,8,104,147,23,933,923,26,9,65,7,81,60,38,25
247,2020/12/05 10:00:00+00,87,291,738,571,38,10,139,49,103,17,146,9,105,147,23,935,924,26,9,66,7,82,60,38,39
248,2020/12/06 10:00:00+00,87,291,746,574,38,10,139,50,103,17,146,9,107,149,23,938,928,26,9,66,7,82,60,38,42
249,2020/12/07 10:00:00+00,89,292,747,575,38,10,139,50,103,17,146,9,110,149,23,946,935,26,9,67,7,83,60,38,37
250,2020/12/08 10:00:00+00,97,294,754,574,38,10,143,51,105,17,146,13,111,150,23,949,937,26,9,69,7,86,60,38,48
251,2020/12/09 10:00:00+00,104,295,761,585,39,10,143,52,107,17,147,14,111,155,23,956,942,26,9,69,7,88,61,38,42
252,2020/12/10 10:00:00+00,109,297,773,590,39,10,145,52,108,17,147,15,112,157,23,958,947,26,10,70,7,90,61,38,49
253,2020/12/11 10:00:00+00,113,298,778,599,40,10,147,53,111,17,148,15,114,157,23,968,947,26,9,73,7,92,62,39,55
254,2020/12/12 10:00:00+00,116,297,787,600,41,10,149,54,111,17,151,17,115,157,23,973,958,26,11,75,7,94,64,39,45
255,2020/12/13 10:00:00+00,117,298,793,603,41,10,149,55,111,17,152,19,115,158,23,978,966,26,12,75,7,95,64,39,31
256,2020/12/14 10:00:00+00,117,300,795,607,41,10,149,55,112,17,152,20,115,158,23,980,967,26,13,75,7,95,66,39,39
257,2020/12/15 10:00:00+00,122,305,800,609,41,10,149,57,113,17,155,23,118,160,23,990,972,26,13,76,7,98,69,39,47
258,2020/12/16 10:00:00+00,126,306,812,613,42,10,149,61,114,17,157,28,122,160,24,995,980,26,14,77,7,103,69,41,50
